iter	RMSE
830	0.09312340923
831	0.09310966012
832	0.09308905484
833	0.09307653799
834	0.0930618756
835	0.09304946436
836	0.09303895452
837	0.09301403022
838	0.09299901348
839	0.09297579764
840	0.09296124114
841	0.09294082939
842	0.09292408095
843	0.09290013379
844	0.0928803154
845	0.09285946191
846	0.09283161895
847	0.09281022674
848	0.09279163069
849	0.09278079296
850	0.09275545395
851	0.09273795955
852	0.09272249327
853	0.09270399612
854	0.09268980248
855	0.09266549839
856	0.09264588476
857	0.09262459193
858	0.09260932037
859	0.09259595879
860	0.09258247732
861	0.09256606033
862	0.0925496701
863	0.09252931182
864	0.09251300065
865	0.09249456539
866	0.09247733408
867	0.09245589933
868	0.09244175051
869	0.0924203942
870	0.09240330314
871	0.0923805906
872	0.09236078097
873	0.0923458783
874	0.0923236882
875	0.09229975891
876	0.09228776447
877	0.09227063256
878	0.09225530353
879	0.09224461769
880	0.09222655315
881	0.09220836528
882	0.09219515095
883	0.09217734271
884	0.09215900976
885	0.09214592792
886	0.09213148415
887	0.09211169924
888	0.0920888083
